date,symbol,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2001-06-08,VTI,US/Eastern,116.1,118.0,115.3,116.4,2265500,0.3,0.26,,0.0,2.7,0.02,2.33,,,
2001-06-15,VTI,US/Eastern,116.1,116.1,110.4,111.3,853500,-4.8,-4.13,-4.38,-4.38,5.7,0.05,4.91,-62.33,,
2001-06-22,VTI,US/Eastern,111.6,113.5,110.5,112.3,1478600,0.7,0.63,0.9,-3.52,3.0,0.03,2.69,73.24,,
2001-06-29,VTI,US/Eastern,112.2,113.6,110.1,113.0,431700,0.8,0.71,0.62,-2.92,3.5,0.03,3.12,-70.8,,
2001-07-06,VTI,US/Eastern,112.6,113.9,109.0,109.0,875700,-3.6,-3.2,-3.54,-6.36,4.9,0.04,4.35,102.85,,
2001-07-13,VTI,US/Eastern,109.4,111.7,107.3,111.5,805000,2.1,1.92,2.29,-4.21,4.4,0.04,4.02,-8.07,,
2001-07-20,VTI,US/Eastern,111.6,112.2,109.7,111.0,157200,-0.6,-0.54,-0.45,-4.64,2.5,0.02,2.24,-80.47,112.07,
2001-07-27,VTI,US/Eastern,111.3,111.4,106.8,110.5,473300,-0.8,-0.72,-0.45,-5.07,4.6,0.04,4.13,201.08,111.23,
2001-08-03,VTI,US/Eastern,110.8,112.4,109.9,111.3,231000,0.5,0.45,0.72,-4.38,2.5,0.02,2.26,-51.19,111.23,
2001-08-10,VTI,US/Eastern,111.2,111.2,107.2,109.0,142200,-2.2,-1.98,-2.07,-6.36,4.0,0.04,3.6,-38.44,110.76,
2001-08-17,VTI,US/Eastern,109.2,109.9,106.3,106.7,125000,-2.5,-2.29,-2.11,-8.33,3.6,0.03,3.3,-12.1,109.86,
2001-08-24,VTI,US/Eastern,106.75,108.7,105.7,108.7,275900,1.95,1.83,1.87,-6.62,3.0,0.03,2.81,120.72,109.81,
2001-08-31,VTI,US/Eastern,108.4,108.7,103.4,104.4,204400,-4.0,-3.69,-3.96,-10.31,5.3,0.05,4.89,-25.92,108.8,
2001-09-07,VTI,US/Eastern,104.3,106.1,99.5,99.5,170600,-4.8,-4.6,-4.69,-14.52,6.6,0.07,6.33,-16.54,107.16,
2001-09-10,VTI,US/Eastern,99.3,100.6,98.75,100.3,37600,1.0,1.01,0.8,-13.83,1.85,0.02,1.86,-77.96,105.7,
2001-09-21,VTI,US/Eastern,94.25,97.1,86.8,88.55,713500,-5.7,-6.05,-11.71,-23.93,10.3,0.12,10.93,1797.61,102.45,
2001-09-28,VTI,US/Eastern,91.95,94.95,90.26,94.95,892100,3.0,3.26,7.23,-18.43,4.69,0.05,5.1,25.03,100.44,
2001-10-05,VTI,US/Eastern,94.2,98.98,93.31,97.3,1772500,3.1,3.29,2.47,-16.41,5.67,0.06,6.02,98.69,99.1,
2001-10-12,VTI,US/Eastern,97.29,100.3,95.91,99.33,1376200,2.04,2.1,2.09,-14.66,4.39,0.04,4.51,-22.36,97.76,
2001-10-19,VTI,US/Eastern,98.8,101.0,96.5,97.76,1635600,-1.04,-1.05,-1.58,-16.01,4.5,0.05,4.55,18.85,96.81,
2001-10-26,VTI,US/Eastern,97.7,101.2,97.39,100.7,1187000,3.0,3.07,3.01,-13.49,3.81,0.04,3.9,-27.43,96.98,
2001-11-02,VTI,US/Eastern,100.4,100.4,96.13,99.1,827600,-1.3,-1.29,-1.59,-14.86,4.27,0.04,4.25,-30.28,96.81,
2001-11-09,VTI,US/Eastern,100.8,103.5,100.0,102.1,559900,1.3,1.29,3.03,-12.29,3.5,0.03,3.47,-32.35,98.75,
2001-11-16,VTI,US/Eastern,101.0,104.9,100.1,104.0,548600,3.0,2.97,1.86,-10.65,4.8,0.05,4.75,-2.02,100.04,
2001-11-23,VTI,US/Eastern,104.5,105.2,103.3,104.9,288600,0.4,0.38,0.87,-9.88,1.9,0.02,1.82,-47.39,101.13,
2001-11-30,VTI,US/Eastern,105.3,106.4,103.0,104.3,545100,-1.0,-0.95,-0.57,-10.4,3.4,0.03,3.23,88.88,101.84,
2001-12-07,VTI,US/Eastern,103.9,107.9,103.1,107.1,549300,3.2,3.08,2.68,-7.99,4.8,0.04,4.62,0.77,103.17,
2001-12-14,VTI,US/Eastern,106.4,106.6,102.8,103.6,610000,-2.8,-2.63,-3.27,-11.0,3.8,0.04,3.57,11.05,103.59,
2001-12-21,VTI,US/Eastern,103.7,106.3,103.6,105.6,494200,1.9,1.83,1.93,-9.28,2.7,0.03,2.6,-18.98,104.51,
2001-12-28,VTI,US/Eastern,105.4,107.3,105.2,106.9,266100,1.5,1.42,1.23,-8.16,2.1,0.02,1.99,-46.16,105.2,105.04
2002-01-04,VTI,US/Eastern,107.0,108.4,104.6,108.1,1303400,1.1,1.03,1.12,-7.13,3.8,0.04,3.55,389.82,105.79,104.76
2002-01-11,VTI,US/Eastern,108.8,108.8,105.7,105.8,809600,-3.0,-2.76,-2.13,-9.11,3.1,0.03,2.85,-37.89,105.91,104.58
2002-01-18,VTI,US/Eastern,105.7,105.9,103.8,104.0,744300,-1.7,-1.61,-1.7,-10.65,2.1,0.02,1.99,-8.07,105.87,104.3
2002-01-25,VTI,US/Eastern,104.9,105.1,103.0,104.7,139900,-0.2,-0.19,0.67,-10.05,2.1,0.02,2.0,-81.2,105.53,104.02
2002-02-01,VTI,US/Eastern,105.0,105.1,100.4,103.9,647300,-1.1,-1.05,-0.76,-10.74,4.7,0.05,4.48,362.69,105.57,103.85
2002-02-08,VTI,US/Eastern,103.8,103.8,99.9,101.3,525400,-2.5,-2.41,-2.5,-12.97,3.9,0.04,3.76,-18.83,104.96,103.51
2002-02-15,VTI,US/Eastern,101.6,104.1,101.5,102.2,452900,0.6,0.59,0.89,-12.2,2.6,0.03,2.56,-13.8,104.29,103.22
2002-02-22,VTI,US/Eastern,102.0,102.0,99.45,100.6,198100,-1.4,-1.37,-1.57,-13.57,2.55,0.03,2.5,-56.26,103.21,102.89
2002-03-01,VTI,US/Eastern,101.2,104.7,101.2,104.7,1505800,3.5,3.46,4.08,-10.05,3.5,0.03,3.46,660.12,103.06,102.67
2002-03-08,VTI,US/Eastern,105.0,108.7,104.7,107.9,560800,2.9,2.76,3.06,-7.3,4.0,0.04,3.81,-62.76,103.61,102.63
2002-03-15,VTI,US/Eastern,108.0,108.7,106.8,107.9,295000,-0.1,-0.09,0.0,-7.3,1.9,0.02,1.76,-47.4,104.07,102.67
2002-03-22,VTI,US/Eastern,108.6,108.8,105.9,106.8,447500,-1.8,-1.66,-1.02,-8.25,2.9,0.03,2.67,51.69,104.49,102.61
2002-03-28,VTI,US/Eastern,106.6,107.1,104.9,106.1,541800,-0.5,-0.47,-0.66,-8.85,2.2,0.02,2.06,21.07,105.17,102.67
2002-04-05,VTI,US/Eastern,106.5,106.5,104.0,104.5,2234900,-2.0,-1.88,-1.51,-10.22,2.5,0.02,2.35,312.5,105.5,102.83
2002-04-12,VTI,US/Eastern,103.7,105.4,103.1,103.9,221400,0.2,0.19,-0.57,-10.74,2.3,0.02,2.22,-90.09,105.97,102.95
2002-04-19,VTI,US/Eastern,104.0,105.9,102.9,105.2,160300,1.2,1.15,1.25,-9.62,3.0,0.03,2.88,-27.6,106.04,103.51
2002-04-26,VTI,US/Eastern,104.9,104.9,100.6,100.6,210500,-4.3,-4.1,-4.37,-13.57,4.3,0.04,4.1,31.32,105.0,103.7
2002-05-03,VTI,US/Eastern,101.0,103.0,99.9,100.8,277400,-0.2,-0.2,0.2,-13.4,3.1,0.03,3.07,31.78,103.99,103.81
2002-05-10,VTI,US/Eastern,101.0,102.3,98.44,99.0,297700,-2.0,-1.98,-1.79,-14.95,3.86,0.04,3.82,7.32,102.87,103.8
2002-05-17,VTI,US/Eastern,99.45,103.8,99.08,103.7,733000,4.25,4.27,4.75,-10.91,4.72,0.05,4.75,146.22,102.53,104.0
2002-05-24,VTI,US/Eastern,103.2,103.2,100.8,101.4,149300,-1.8,-1.74,-2.22,-12.89,2.4,0.02,2.33,-79.63,102.09,104.02
2002-05-31,VTI,US/Eastern,101.8,101.8,99.03,99.95,174700,-1.85,-1.82,-1.43,-14.13,2.77,0.03,2.72,17.01,101.52,104.05
2002-06-07,VTI,US/Eastern,100.0,100.4,95.05,96.71,269800,-3.29,-3.29,-3.24,-16.92,5.35,0.06,5.35,54.44,100.31,103.87
